Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"родный",0.0250354669,0,0.0097727828,0,0,0.0192958726
"сова",0,0.0032150464,0.0146591742,0.0038536058,0,0.0057314473
"солнечный",0,0.0008037616,0,0.005298708,0.0018078279,0.0015283859
"сплетать",0,0.0032150464,0.0048863914,0.0044958734,0.0036156558,0.0034388684
"стыдиться",0,0.0056263312,0.0048863914,0.0049775742,0,0.0015283859
"бабушка",0,0.0088413776,0.0537503054,0.001766236,0.0036156558,0.0097434604
"блистательный",0,0,0,0.0057804087,0,0
"вадим",0,0,0,0.0057804087,0,0
"ведро",0.0083451556,0.004018808,0.0195455656,0.0015521468,0.0054234837,0.0124181358
"внушать",0,0,0,0.0057804087,0,0
"водиться",0,0.0112526625,0.0097727828,0.0024085036,0.0036156558,0.008597171
"гневный",0,0.0048225696,0.0048863914,0.004602918,0,0.0028657237
"долинушка",0.0166903113,0.0241128481,0.0146591742,0.0001605669,0.0072313116,0.0122270876
"личико",0,0.0128601857,0.024431957,0.0006957899,0.0036156558,0.0137554735
"пленяться",0,0.0008037616,0,0.0056198418,0.0018078279,0.0001910482
"подземный",0,0,0,0.0057804087,0,0
"приковывать",0.0292080447,0,0.0097727828,0.0047099626,0,0.0021015307
"пробежать",0,0.0008037616,0,0.0055663195,0.0036156558,0.0001910482
"рассуждать",0.0041725778,0.0016075232,0,0.0048170072,0.0018078279,0.0026746754
"родиться",0,0.0048225696,0.0048863914,0.0048170072,0.0090391395,0.0011462895
"усыплять",0,0.0008037616,0,0.0056733641,0.0018078279,0
"щипать",0.0041725778,0.0112526625,0.0195455656,0.001231013,0,0.0126091841
"буйнуть",0.0083451556,0,0.0048863914,0.0002676115,0,0.0189137761
"видеться",0,0.0120564241,0.0146591742,0.002301459,0.0108469674,0.0076419297
"вырывать",0,0.004018808,0.0146591742,0.0043353065,0.0144626232,0.0019104824
"гусар",0,0.0104489009,0,0.0048170072,0,0.000764193
"затея",0,0,0,0.0057268864,0,0
"казаченька",0.0083451556,0.0128601857,0,0,0,0.0170032937
"кустик",0.0125177335,0.0176827553,0.0195455656,0.0003746561,0.0036156558,0.0131823288
"кушать",0.0041725778,0.0064300928,0.0048863914,0.0024620259,0,0.0097434604
"мгновенно",0,0,0,0.0057268864,0,0
"ограда",0,0,0,0.0053522303,0.0018078279,0.0011462895
"останавливать",0.0041725778,0.0032150464,0,0.005298708,0,0.0005731447
"переживать",0,0,0,0.0056733641,0.0018078279,0
