"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"только" 0.175 0.135 0.155 0.0977278279990227 0.0643984115058495 0.125712370097218 0.142234865321362 0.10155721056195 0.16 0.11 0.105 0.115 0.095 0.085
"два" 0.15 0.17 0.155 0.0928414365990716 0.042932274337233 0.100569896077774 0.0311138767890479 0.0507786052809749 0.09 0.045 0.09 0.16 0.18 0.27
"другой" 0.105 0.16 0.135 0.12704617639873 0.139529891596007 0.134093194770365 0.0844519512845586 0.160798916723087 0.09 0.125 0.075 0.135 0.14 0.115
"ночь" 0.1 0.095 0.065 0.0928414365990716 0.128796823011699 0.184378142809252 0.257800693394968 0.220040622884225 0.15 0.14 0.125 0.06 0.055 0.07
"еще" 0.14 0.115 0.155 0.102614219398974 0.107330685843083 0.0754274220583305 0.0577829140368033 0.0930941096817874 0.11 0.135 0.1 0.18 0.2 0.075
"тоска" 0.07 0.08 0.07 0.073295870999267 0.418589674788022 0.31009051290647 0.297804249266601 0.2708192281652 0.085 0.09 0.065 0.02 0.05 0.05
"черный" 0.1 0.13 0.185 0.219887612997801 0.0536653429215413 0.100569896077774 0.102231309449729 0.211577522004062 0.06 0.055 0.06 0.125 0.12 0.145
"гора" 0.205 0.16 0.195 0.131932567798681 0.128796823011699 0.0167616493462957 0.0622277535780958 0.0253893026404875 0.095 0.08 0.085 0.155 0.095 0.165
"мать" 0.125 0.175 0.22 0.102614219398974 0.107330685843083 0.142474019443513 0.146679704862654 0.0761679079214624 0.06 0.03 0.04 0.145 0.16 0.11
"вода" 0.15 0.155 0.11 0.161250916198387 0.0536653429215413 0.0921890714046262 0.040003555871633 0.1354096140826 0.13 0.045 0.105 0.165 0.135 0.14
"для" 0.045 0.025 0.015 0.0537503053994625 0.386390469035097 0.134093194770365 0.248911014312383 0.126946513202437 0.245 0.135 0.25 0.025 0.045 0.045
