"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"применять" 0 0 0 0.02 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01
"принуждать" 0 0 0.01 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0.01 0 0 0
"приставать" 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0.02
"присутствие" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"притаиться" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0
"приуныть" 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0.02 0 0
"пришлец" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0
"прищипать" 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"проглянуть" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0.02 0 0 0
"прогоревать" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"продержать" 0.01 0.01 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0
"проклинаючи" 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"пролагать" 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0.01
"проливной" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0
"промежду" 0 0 0.01 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"промысл" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0
"пророк" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0
"простуживаться" 0.01 0.02 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"прямой" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0
"пуд" 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"пунш" 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0
"пушок" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"пшеничка" 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0
"пыл" 0 0 0 0 0 0 0.01 0.01 0 0 0 0.03 0 0 0 0 0 0
"пылкий" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0.01 0 0 0
"пятнадцать" 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0
"разбойничок" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01
"разгадывать" 0 0 0 0 0 0.02 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0
"разгуливать" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0
"раздольице" 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"разноцветный" 0.01 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0
"разрываться" 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0.02 0 0 0
"разудаленький" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.03 0.01 0
"разуметь" 0 0 0 0.01 0 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0
"разцвести" 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ранний" 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0.01 0 0 0
"раскрашивать" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0
"раскрывать" 0 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0
"распоясывать" 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"расприветливый" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"рассыпчатый" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0
"расцеловывать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0
"ратин" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"ратный" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0
"ребро" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"редко" 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0
"ресница" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0 0
"решаться" 0 0 0 0.01 0 0 0 0 0 0 0 0.03 0 0 0.01 0 0 0
"родименький" 0.01 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0
"родительский" 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0.01 0 0 0
"родиться" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0.02 0 0 0
"рождение" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"рой" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0.01 0 0 0 0
"роман" 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0.01 0
"россия" 0 0 0 0 0 0 0 0 0 0.01 0.04 0 0 0 0 0 0 0
"рубить" 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.02
"румяна" 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01
"румяньтести" 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0
"рыбий" 0 0 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01
"рюмка" 0 0 0 0 0 0.02 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"сальный" 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"саночки" 0.01 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"саратов" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0
"сверху" 0 0.01 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0 0
"сгорать" 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0.01
"сегодня" 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0 0 0
"сердечно" 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0.01 0 0 0 0 0 0
"серьга" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0 0.01
"сивый" 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"сизо" 0 0.01 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"сизокрылый" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0
"синичка" 0 0.01 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0
"сиротушка" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"сито" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"сказываться" 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0
"скорешинько" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"скочить" 0 0 0.01 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"скрыпица" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"скучный" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0.01 0 0 0 0
"слабый" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0 0 0 0
"следить" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01 0 0 0
"случилось" 0.01 0 0.02 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"случиться" 0 0 0 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"смертельно" 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0
"смущать" 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0.01 0 0
"собиралася" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"совершаться" 0 0 0 0 0 0 0 0.01 0.01 0 0 0.03 0 0 0 0 0 0
"совивать" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03
"согнать" 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0.01
"сок" 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0 0
"соколик" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0.01
"сокровище" 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0.01 0 0 0 0 0
"сокрушаться" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0.02 0 0 0 0 0.01
"сокрыть" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0.01 0 0 0
"сомнение" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0
"сонм" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0
"сорывать" 0.01 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"сотворить" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0.02
"соха" 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.02 0.01 0
"спаситель" 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0 0 0 0 0 0
"спокой" 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"спокойно" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0
"спрашиваться" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0
"ссориться" 0 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0
"ссылать" 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"старинный" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0
"стель" 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0
"стенка" 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0
"столбовой" 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"столица" 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0 0 0 0 0
"стопа" 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0
"страдалец" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0
"страдница" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"странник" 0 0 0 0 0 0 0 0 0 0.03 0 0.02 0 0 0 0 0 0
"стрелок" 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"стрельба" 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"стремиться" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0.01 0 0 0
"сударка" 0.01 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"судьбинушка" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0
"суета" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"сумочка" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"суседи" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01
"сухой" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0 0
"счастливо" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01 0 0 0
"сюд" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.03
"тайно" 0 0 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0
"талан" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.01
"татьянушка" 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02
"тебя" 0 0 0 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"теперешний" 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"теремочек" 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01
"терзать" 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0.01 0.01 0
"тесмяный" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"тесный" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0.01 0 0 0
"тетка" 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01
"тещенька" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02
"тоже" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0.01 0 0 0 0
"торжество" 0 0 0 0 0 0 0 0 0 0 0.04 0.01 0 0 0 0 0 0
"торный" 0 0 0 0.01 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"тревожить" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0.01 0 0 0 0 0
"трепетаться" 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"трон" 0 0 0 0 0 0 0 0 0 0.01 0.04 0 0 0 0 0 0 0
"тугой" 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0
"тычиночка" 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"тятенька" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"увлекать" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0 0 0
"ужель" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0
"узелочек" 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"узы" 0 0 0 0 0 0 0 0 0 0.01 0.04 0 0 0 0 0 0 0
"укрывать" 0.01 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"улиць" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"улка" 0.01 0 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"уля" 0 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"уместе" 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"умолк" 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.01 0.01 0 0 0 0
"уныло" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0
"усматривать" 0 0 0.01 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.01
"усталый" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0.01 0 0 0 0 0
"усыпать" 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"уход" 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"участие" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0
"фалелеевна" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0
"хворать" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"хвост" 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0.01
"хмелина" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0 0
"хозяйка" 0 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0
"холоп" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"хрен" 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"часту" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"чебот" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0.01
"черница" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0.01 0
"чествовать" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.03 0.01 0 0
"читатель" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0
"чужедальний" 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"шейка" 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.01
"шилд" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"шинкарочка" 0 0 0 0 0.02 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"шляпочка" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"щепетный" 0.01 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"щит" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0
"юность" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0.01 0 0 0 0
"ярославль" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0 0
"яство" 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0.01
"яшуточка" 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"авдотья" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"акулина" 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"алмаз" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0
"альненый" 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0
"амбар" 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"анюта" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0
"арфа" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0
"астрахань" 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"бабка" 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"багряный" 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0
"балда" 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0.01
"банк" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"батюшков" 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"башня" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"бедняжечка" 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"беззаботный" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0.01 0 0 0
"белеть" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01
"белье" 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01
"беречься" 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0
"бес" 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0
"беспокойный" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0
"бесприютный" 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0
"бесчестье" 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"бешеный" 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0
"благодетель" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0
"благой" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0
"бледность" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"блюдечко" 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0.01 0
"бобровый" 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0 0 0.01 0 0
"богач" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0
"бойся" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"более" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0
"больная" 0 0 0 0 0 0.02 0 0 0 0.01 0.01 0 0 0 0 0 0 0
"бородушка" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01
"борозда" 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0
"борьба" 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0 0 0
"бочок" 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.02 0
"боюся" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"боязнь" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"бояр" 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0
"боярск" 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0
"бросалася" 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01
"брызнуть" 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"бумажка" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"буреный" 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"бурый" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"бутылка" 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0.01 0
"бывалый" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0
"василь" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"вдаль" 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0
"вдвоем" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0.01 0
"вдовка" 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"ведерочко" 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0
"ведьма" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0.01 0 0 0 0
"везеница" 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0
"вековой" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0
"веревка" 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0
"вершина" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"вершиночка" 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"вершинушка" 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0
"веселенек" 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01
"вешний" 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0
"взамуж" 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"взойти" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"взрослый" 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"видение" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"витязь" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0
"влечь" 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0
"вмиг" 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0 0 0
"внезапно" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0
"вовек" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0
"вождь" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0
"вожеватый" 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01
"воздавать" 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0
"возможно" 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0
"возмущать" 0.01 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0
"возникать" 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0
"возрастить" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0
"воображение" 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0
"вопить" 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0
"вопль" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0
"воробейко" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"воротечко" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"воротися" 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"вослед" 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0
"восударыня" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"вося" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0
"вотще" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0
"всего" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01
"всплакаться" 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0
"всплескивать" 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0
