id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
295;Одоевский, А.И.;По дороге столбовой;Русская беседа. 1859. № 14. С. 4-5/ Полное собрание стихотворений князя А.И. Одоевского. СПб., 1883. С. 87-88 (+ БП 1958);1831;1830;Далекий путь;;1859;periodical;Х4мд;reg;rhymed;core;Х;4;мд;4;no;
296;Одоевский, А.И.;Грозный злобно потешается;Кубасов, И.А. Декабрист А.И. Одоевский. Спб., 1922. С. 148/ Одоевский, А.И. Полное собрание стихотворений. Л., 1958.;1830;1820;Кутья;;1922;collection;Х4дм;reg;unrhymed;core;Х;4;дм;4;no;
297;Ознобишин, Д.;Гуляет по Дону казак молодой;Московский наблюдатель. 1836. Кн. 2. С. 239/ Поэты 1820-1830-х гг. Л., 1972. Т.2. С. 97-98;1835;1830;Чудная бандура;;1836;periodical;Аф4м;reg;rhymed;periph;Аф;4;м;4;no;
298;Остолопов, Н.Ф.;Ах не лебедь ходит белая;Свиток муз. Спб., 1803. Кн. 2. C. 51-53/ Остолопов, Н.Ф. Прежние досуги, М. 1816. С. 61-62;1802;1800;Бедная дуня;;1803;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;mb;
299;Остолопов, Н.Ф.;Не бушуйте ветры буйные;Журнал российской словесности. 1805. № 2. С. 96/ Остолопов, Н.Ф. Прежние досуги. М. 1816. С. 75-76/ NB! Полевые цветы на 1828 г. СПб., 1828. С.245-246 -- украл А. Сергеев напечатал текст, внизу подписал: "Бурная полночь. 14 октября 1815 г.";1805;1800;Русская песня;;1805;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;yes;Не бушуйте вы ветры буйные
300;Остолопов, Н.Ф.;Солнце красное оставь ты небеса;Любитель словесности. 1806. Ч.1. № 3. С.269/ Остолопов§ Н.Ф. Прежние досуги. М. 1816. С. 76-77/ ВЕ. 1816. Ч. 89. № 19-20. С.207;1806;1800;;(На голос простонародной песни: Скучно, грустно мне в деревне жить одной);1806;periodical;Х6м;reg;rhymed;core;Х;6;м;6;yes;Скучно матушка весною жить одной
301;П. Н. - въ.;Была пора когда цветы;Русский альманах на 1832 и 1833 годы. СПб., 1832. С. 358-359.;1832;1830;Русская песня;;1832;periodical;Я3д;reg;unrhymed;core;Я;3;д;3;no;
302;П.Я. (14.33);Кто со мной молодой;Цинтия на 1832. М., 1831. С. 86-87;1831;1830;Песня;надо проверять ценз. Разрешение? Указан 7 февраля, 1830. Опечатка?;1831;periodical;Ан2м + Х3ж;reg;rhymed;core;Логаэд;;;Логаэд;mb;
303;Пальм, А.;Не шуми ты мать зеленая дубровушка;Литературная газета. 1845. № 21, 7 июня. С. 717;1845;1840;Русская песня;метастихотворение;1845;periodical;Я6жм;unreg;rhymed;periph;Я;6;жм;6;no;
304;Панаев, В.И.;Не спеши моя красавица постой;Памятник Отечественных Муз изд. на 1827 г. СПб., 1827. С. 14/ Лит. прибавл. к Рус. Инвалиду. 1835. № 5, 16 янв. С. 39/ Поэты 1820-1830-х гг. Л., 1972. Т.1. С. 197;1827;1820;Разлука;;1827;periodical;Х6м;reg;rhymed;core;Х;6;м;6;no;
305;Панаев, В.И.;Скажи мне, родимая;Невский альманах на 1827. СПб., 1827. С. 98-99 (ц.р. 27 окт. 1827)/ Поэты 1820-1830-х гг. Л., 1972. Т. 1. С. 197-198;1826;1820;Мать и дочь (опыт русской идиллии);;1826;periodical;Аф2д;reg;unrhymed;core;Аф;2;д;2;no;
306;Пельский, Д.;Радость дней моих;БдЧ. 1838. Т. 29. Стихотв. С. 53-54;1838;1830;Три русские песни (Ниркомский + Д. Пельский);;1838;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
307;Переведенцев, М.;Эй вы соколики;Литературная газета. 1848. № 32, 12 августа. С. 503;1848;1840;Песня русского ямщика на чужбине;;1848;periodical;Д23дм;reg;rhymed;core;Д;23;дм;рз;no;
308;Петров, И.;Березонька ль кудрявая;Лит. прибавл. к Рус. Инвалиду. 1832. № 48. С. 383/ Утреняя звезда. М., 1834. Кн. 1. С. 162-163 (с заголовком: Заветное кольцо. Русская песня);1832;1830;Русская песня (Красноярск);;1832;periodical;Я3д;reg;occ;core;Я;3;д;3;mb;
309;Подолинский, А.И.;Что в сыром бору от солнышка;Повести и мелкие стихотворения А. Подолинского. Спб., 1837. С. 161-162/ Подолинский, А.И. Сочинения. 1860. Т. 1. С. 278-279 ;1837;1830;Русская песня;;1837;collection;Х4д;unreg;unrhymed;core;Х;4;д;4;no;
310;Полежаев, А.И.;У меня ль молодца;Стихотворения А. Полежаева. М., 1832. С. 171-172;1832;1830;Песни;;1832;collection;Х3м;reg;rhymed;core;Х;3;м;3;no;
